,date,monthly_booking_amount,x1,x2,x3,x4,y
26,2017-07-02,8654547.139999997,8654547.139999997,330910.02,606072.75,513616.68000000005,875722.96
27,2017-07-09,330910.02,330910.02,606072.75,513616.68000000005,875722.96,964193.92
28,2017-07-16,606072.75,606072.75,513616.68000000005,875722.96,964193.92,583432.39
29,2017-07-23,513616.68000000005,513616.68000000005,875722.96,964193.92,583432.39,985720.7800000003
30,2017-07-30,875722.96,875722.96,964193.92,583432.39,985720.7800000003,1034200.3999999999
31,2017-08-06,964193.92,964193.92,583432.39,985720.7800000003,1034200.3999999999,13422709.88000001
32,2017-08-13,583432.39,583432.39,985720.7800000003,1034200.3999999999,13422709.88000001,1308680.6700000002
33,2017-08-20,985720.7800000003,985720.7800000003,1034200.3999999999,13422709.88000001,1308680.6700000002,1977893.15
34,2017-08-27,1034200.3999999999,1034200.3999999999,13422709.88000001,1308680.6700000002,1977893.15,1460377.26
35,2017-09-03,13422709.88000001,13422709.88000001,1308680.6700000002,1977893.15,1460377.26,7913429.539999992
36,2017-09-10,1308680.6700000002,1308680.6700000002,1977893.15,1460377.26,7913429.539999992,432227.87000000005
37,2017-09-17,1977893.15,1977893.15,1460377.26,7913429.539999992,432227.87000000005,820303.8900000001
38,2017-09-24,1460377.26,1460377.26,7913429.539999992,432227.87000000005,820303.8900000001,1342995.86
39,2017-10-01,7913429.539999992,7913429.539999992,432227.87000000005,820303.8900000001,1342995.86,971510.1
40,2017-10-08,432227.87000000005,432227.87000000005,820303.8900000001,1342995.86,971510.1,1579164.2300000002
41,2017-10-15,820303.8900000001,820303.8900000001,1342995.86,971510.1,1579164.2300000002,1491259.7699999998
42,2017-10-22,1342995.86,1342995.86,971510.1,1579164.2300000002,1491259.7699999998,1571732.6399999997
43,2017-10-29,971510.1,971510.1,1579164.2300000002,1491259.7699999998,1571732.6399999997,546150.0499999998
44,2017-11-05,1579164.2300000002,1579164.2300000002,1491259.7699999998,1571732.6399999997,546150.0499999998,1392235.1500000004
45,2017-11-12,1491259.7699999998,1491259.7699999998,1571732.6399999997,546150.0499999998,1392235.1500000004,1399058.9999999998
46,2017-11-19,1571732.6399999997,1571732.6399999997,546150.0499999998,1392235.1500000004,1399058.9999999998,2175936.0599999996
47,2017-11-26,546150.0499999998,546150.0499999998,1392235.1500000004,1399058.9999999998,2175936.0599999996,4613510.61
48,2017-12-03,1392235.1500000004,1392235.1500000004,1399058.9999999998,2175936.0599999996,4613510.61,4219235.400000002
49,2017-12-10,1399058.9999999998,1399058.9999999998,2175936.0599999996,4613510.61,4219235.400000002,6027660.66
50,2017-12-17,2175936.0599999996,2175936.0599999996,4613510.61,4219235.400000002,6027660.66,357821.2
51,2017-12-24,4613510.61,4613510.61,4219235.400000002,6027660.66,357821.2,447407.7
52,2017-12-31,4219235.400000002,4219235.400000002,6027660.66,357821.2,447407.7,544042.15
53,2018-01-07,6027660.66,6027660.66,357821.2,447407.7,544042.15,1262264.1799999988
54,2018-01-14,357821.2,357821.2,447407.7,544042.15,1262264.1799999988,620837.5
55,2018-01-21,447407.7,447407.7,544042.15,1262264.1799999988,620837.5,913082.3200000003
56,2018-01-28,544042.15,544042.15,1262264.1799999988,620837.5,913082.3200000003,455061.6499999999
57,2018-02-04,1262264.1799999988,1262264.1799999988,620837.5,913082.3200000003,455061.6499999999,1549461.9199999997
58,2018-02-11,620837.5,620837.5,913082.3200000003,455061.6499999999,1549461.9199999997,885961.7199999997
59,2018-02-18,913082.3200000003,913082.3200000003,455061.6499999999,1549461.9199999997,885961.7199999997,1229011.0399999993
60,2018-02-25,455061.6499999999,455061.6499999999,1549461.9199999997,885961.7199999997,1229011.0399999993,1471810.249999999
61,2018-03-04,1549461.9199999997,1549461.9199999997,885961.7199999997,1229011.0399999993,1471810.249999999,4629404.99
62,2018-03-11,885961.7199999997,885961.7199999997,1229011.0399999993,1471810.249999999,4629404.99,686391.0800000002
63,2018-03-18,1229011.0399999993,1229011.0399999993,1471810.249999999,4629404.99,686391.0800000002,781158.2199999993
64,2018-03-25,1471810.249999999,1471810.249999999,4629404.99,686391.0800000002,781158.2199999993,507918.7199999999
65,2018-04-01,4629404.99,4629404.99,686391.0800000002,781158.2199999993,507918.7199999999,701497.47
66,2018-04-08,686391.0800000002,686391.0800000002,781158.2199999993,507918.7199999999,701497.47,892703.9199999998
67,2018-04-15,781158.2199999993,781158.2199999993,507918.7199999999,701497.47,892703.9199999998,3394911.8499999987
68,2018-04-22,507918.7199999999,507918.7199999999,701497.47,892703.9199999998,3394911.8499999987,2236308.1699999995
69,2018-04-29,701497.47,701497.47,892703.9199999998,3394911.8499999987,2236308.1699999995,617294.3100000002
70,2018-05-06,892703.9199999998,892703.9199999998,3394911.8499999987,2236308.1699999995,617294.3100000002,1039096.7500000001
71,2018-05-13,3394911.8499999987,3394911.8499999987,2236308.1699999995,617294.3100000002,1039096.7500000001,945220.6200000003
72,2018-05-20,2236308.1699999995,2236308.1699999995,617294.3100000002,1039096.7500000001,945220.6200000003,2247025.4300000006
73,2018-05-27,617294.3100000002,617294.3100000002,1039096.7500000001,945220.6200000003,2247025.4300000006,2449481.1499999994
74,2018-06-03,1039096.7500000001,1039096.7500000001,945220.6200000003,2247025.4300000006,2449481.1499999994,6966057.5600000005
75,2018-06-10,945220.6200000003,945220.6200000003,2247025.4300000006,2449481.1499999994,6966057.5600000005,798382.2299999999
76,2018-06-17,2247025.4300000006,2247025.4300000006,2449481.1499999994,6966057.5600000005,798382.2299999999,647640.95
77,2018-06-24,2449481.1499999994,2449481.1499999994,6966057.5600000005,798382.2299999999,647640.95,422047.58999999997
78,2018-07-01,6966057.5600000005,6966057.5600000005,798382.2299999999,647640.95,422047.58999999997,906293.6599999998
79,2018-07-08,798382.2299999999,798382.2299999999,647640.95,422047.58999999997,906293.6599999998,1256061.7700000003
80,2018-07-15,647640.95,647640.95,422047.58999999997,906293.6599999998,1256061.7700000003,668935.3300000002
81,2018-07-22,422047.58999999997,422047.58999999997,906293.6599999998,1256061.7700000003,668935.3300000002,2239129.939999999
82,2018-07-29,906293.6599999998,906293.6599999998,1256061.7700000003,668935.3300000002,2239129.939999999,999492.2500000005
83,2018-08-05,1256061.7700000003,1256061.7700000003,668935.3300000002,2239129.939999999,999492.2500000005,1780376.9900000002
84,2018-08-12,668935.3300000002,668935.3300000002,2239129.939999999,999492.2500000005,1780376.9900000002,669273.69
85,2018-08-19,2239129.939999999,2239129.939999999,999492.2500000005,1780376.9900000002,669273.69,897231.8200000001
86,2018-08-26,999492.2500000005,999492.2500000005,1780376.9900000002,669273.69,897231.8200000001,1249300.8699999999
87,2018-09-02,1780376.9900000002,1780376.9900000002,669273.69,897231.8200000001,1249300.8699999999,9612812.72
88,2018-09-09,669273.69,669273.69,897231.8200000001,1249300.8699999999,9612812.72,388238.7699999999
89,2018-09-16,897231.8200000001,897231.8200000001,1249300.8699999999,9612812.72,388238.7699999999,665453.3899999998
90,2018-09-23,1249300.8699999999,1249300.8699999999,9612812.72,388238.7699999999,665453.3899999998,423890.20999999996
91,2018-09-30,9612812.72,9612812.72,388238.7699999999,665453.3899999998,423890.20999999996,1230938.6099999999
92,2018-10-07,388238.7699999999,388238.7699999999,665453.3899999998,423890.20999999996,1230938.6099999999,875133.65
93,2018-10-14,665453.3899999998,665453.3899999998,423890.20999999996,1230938.6099999999,875133.65,981436.1399999998
94,2018-10-21,423890.20999999996,423890.20999999996,1230938.6099999999,875133.65,981436.1399999998,833534.35
95,2018-10-28,1230938.6099999999,1230938.6099999999,875133.65,981436.1399999998,833534.35,412687.74
96,2018-11-04,875133.65,875133.65,981436.1399999998,833534.35,412687.74,2663241.7699999996
97,2018-11-11,981436.1399999998,981436.1399999998,833534.35,412687.74,2663241.7699999996,1450032.58
98,2018-11-18,833534.35,833534.35,412687.74,2663241.7699999996,1450032.58,2090899.8799999994
99,2018-11-25,412687.74,412687.74,2663241.7699999996,1450032.58,2090899.8799999994,5232728.99
100,2018-12-02,2663241.7699999996,2663241.7699999996,1450032.58,2090899.8799999994,5232728.99,6381129.719999998
101,2018-12-09,1450032.58,1450032.58,2090899.8799999994,5232728.99,6381129.719999998,231936.82
102,2018-12-16,2090899.8799999994,2090899.8799999994,5232728.99,6381129.719999998,231936.82,711579.2299999999
103,2018-12-23,5232728.99,5232728.99,6381129.719999998,231936.82,711579.2299999999,537898.8400000002
104,2018-12-30,6381129.719999998,6381129.719999998,231936.82,711579.2299999999,537898.8400000002,385184.48
105,2019-01-13,231936.82,231936.82,711579.2299999999,537898.8400000002,385184.48,1046383.5500000002
106,2019-01-20,711579.2299999999,711579.2299999999,537898.8400000002,385184.48,1046383.5500000002,2011759.2199999997
107,2019-01-27,537898.8400000002,537898.8400000002,385184.48,1046383.5500000002,2011759.2199999997,1085641.5100000002
108,2019-02-03,385184.48,385184.48,1046383.5500000002,2011759.2199999997,1085641.5100000002,636407.1600000001
109,2019-02-10,1046383.5500000002,1046383.5500000002,2011759.2199999997,1085641.5100000002,636407.1600000001,1311915.8099999998
110,2019-02-17,2011759.2199999997,2011759.2199999997,1085641.5100000002,636407.1600000001,1311915.8099999998,687328.21
111,2019-02-24,1085641.5100000002,1085641.5100000002,636407.1600000001,1311915.8099999998,687328.21,1065883.48
112,2019-03-03,636407.1600000001,636407.1600000001,1311915.8099999998,687328.21,1065883.48,1107357.7100000002
113,2019-03-10,1311915.8099999998,1311915.8099999998,687328.21,1065883.48,1107357.7100000002,5908410.999999998
114,2019-03-17,687328.21,687328.21,1065883.48,1107357.7100000002,5908410.999999998,228184.24999999994
115,2019-03-24,1065883.48,1065883.48,1107357.7100000002,5908410.999999998,228184.24999999994,404385.64000000013
116,2019-03-31,1107357.7100000002,1107357.7100000002,5908410.999999998,228184.24999999994,404385.64000000013,593831.14
117,2019-04-07,5908410.999999998,5908410.999999998,228184.24999999994,404385.64000000013,593831.14,738444.7099999997
118,2019-04-14,228184.24999999994,228184.24999999994,404385.64000000013,593831.14,738444.7099999997,413649.88
119,2019-04-21,404385.64000000013,404385.64000000013,593831.14,738444.7099999997,413649.88,214375.56
120,2019-04-28,593831.14,593831.14,738444.7099999997,413649.88,214375.56,530827.6699999999
121,2019-05-05,738444.7099999997,738444.7099999997,413649.88,214375.56,530827.6699999999,946032.6699999999
122,2019-05-12,413649.88,413649.88,214375.56,530827.6699999999,946032.6699999999,1102576.34
123,2019-05-19,214375.56,214375.56,530827.6699999999,946032.6699999999,1102576.34,
124,2019-05-26,530827.6699999999,530827.6699999999,946032.6699999999,1102576.34,,
125,2019-06-02,946032.6699999999,946032.6699999999,1102576.34,,,
126,2019-06-09,1102576.34,1102576.34,,,,
